optimizer,learning_rate,accuracy,run
Adadelta,0.020,0.5890411138534546,5
Adadelta,0.030,0.6438356041908264,5
Adadelta,0.040,0.6164383292198181,5
Adadelta,0.050,0.6849315166473389,5
Adadelta,0.060,0.6849315166473389,5
Adadelta,0.070,0.6712328791618347,5
AdamW,0.001,0.8493150472640991,5
AdamW,0.002,0.7123287916183472,5
AdamW,0.003,0.8493150472640991,5
AdamW,0.005,0.835616409778595,5
AdamW,0.010,0.7397260069847107,5
AdamW,0.015,0.7808219194412231,5
AdamW,0.020,0.767123281955719,5
AdamW,0.030,0.7945205569267273,5
AdamW,0.040,0.8630136847496033,5
AdamW,0.050,0.42465752363204956,5
AdamW,0.060,0.7123287916183472,5
AdamW,0.070,0.42465752363204956,5
Nadam,0.001,0.6849315166473389,5
Nadam,0.002,0.9041095972061157,5
Nadam,0.003,0.8219178318977356,5
Nadam,0.005,0.6438356041908264,5
Nadam,0.010,0.7397260069847107,5
Nadam,0.015,0.7260273694992065,5
Nadam,0.020,0.698630154132843,5
Nadam,0.030,0.8219178318977356,5
Nadam,0.040,0.7534246444702148,5
Nadam,0.050,0.698630154132843,5
Nadam,0.060,0.6849315166473389,5
Nadam,0.070,0.7397260069847107,5
Adam,0.001,0.6301369667053223,6
Adam,0.002,0.6849315166473389,6
Adam,0.003,0.8493150472640991,6
Adam,0.005,0.7397260069847107,6
Adam,0.010,0.8082191944122314,6
Adam,0.015,0.8630136847496033,6
Adam,0.020,0.7123287916183472,6
Adam,0.030,0.835616409778595,6
Adam,0.040,0.8493150472640991,6
Adam,0.050,0.42465752363204956,6
Adam,0.060,0.7123287916183472,6
Adam,0.070,0.7123287916183472,6
SGD,0.001,0.42465752363204956,6
SGD,0.002,0.5753424763679504,6
SGD,0.003,0.6027397513389587,6
SGD,0.005,0.6301369667053223,6
SGD,0.010,0.6575342416763306,6
SGD,0.015,0.6575342416763306,6
SGD,0.020,0.6712328791618347,6
SGD,0.030,0.6712328791618347,6
SGD,0.040,0.6438356041908264,6
SGD,0.050,0.6575342416763306,6
SGD,0.060,0.6575342416763306,6
SGD,0.070,0.6438356041908264,6
RMSprop,0.001,0.9041095972061157,6
RMSprop,0.002,0.8493150472640991,6
RMSprop,0.003,0.8767123222351074,6
RMSprop,0.005,0.9178082346916199,6
RMSprop,0.010,0.835616409778595,6
RMSprop,0.015,0.8904109597206116,6
RMSprop,0.020,0.8767123222351074,6
RMSprop,0.030,0.8082191944122314,6
RMSprop,0.040,0.8767123222351074,6
RMSprop,0.050,0.6849315166473389,6
RMSprop,0.060,0.7397260069847107,6
RMSprop,0.070,0.42465752363204956,6
Adagrad,0.001,0.5753424763679504,6
Adagrad,0.002,0.5890411138534546,6
Adagrad,0.003,0.6438356041908264,6
Adagrad,0.005,0.6438356041908264,6
Adagrad,0.010,0.6849315166473389,6
Adagrad,0.015,0.6027397513389587,6
Adagrad,0.020,0.6575342416763306,6
Adagrad,0.030,0.6712328791618347,6
Adagrad,0.040,0.6575342416763306,6
Adagrad,0.050,0.6027397513389587,6
Adagrad,0.060,0.6712328791618347,6
Adagrad,0.070,0.6712328791618347,6
Adadelta,0.001,0.42465752363204956,6
Adadelta,0.002,0.5205479264259338,6
Adadelta,0.003,0.42465752363204956,6
Adadelta,0.005,0.45205479860305786,6
Adadelta,0.010,0.4794520437717438,6
Adadelta,0.015,0.6027397513389587,6
Adadelta,0.020,0.6027397513389587,6
Adadelta,0.030,0.6438356041908264,6
Adadelta,0.040,0.6301369667053223,6
Adadelta,0.050,0.6712328791618347,6
Adadelta,0.060,0.6712328791618347,6
Adadelta,0.070,0.6712328791618347,6
AdamW,0.001,0.8904109597206116,6
AdamW,0.002,0.7945205569267273,6
AdamW,0.003,0.8219178318977356,6
AdamW,0.005,0.8219178318977356,6
AdamW,0.010,0.8630136847496033,6
AdamW,0.015,0.7534246444702148,6
AdamW,0.020,0.7123287916183472,6
AdamW,0.030,0.7260273694992065,6
AdamW,0.040,0.7397260069847107,6
AdamW,0.050,0.7397260069847107,6
AdamW,0.060,0.6712328791618347,6
AdamW,0.070,0.7123287916183472,6
Nadam,0.001,0.835616409778595,6
Nadam,0.002,0.767123281955719,6
Nadam,0.003,0.8493150472640991,6
Nadam,0.005,0.8904109597206116,6
Nadam,0.010,0.7397260069847107,6
Nadam,0.015,0.8219178318977356,6
Nadam,0.020,0.835616409778595,6
Nadam,0.030,0.9041095972061157,6
Nadam,0.040,0.7534246444702148,6
Nadam,0.050,0.5068492889404297,6
Nadam,0.060,0.42465752363204956,6
Nadam,0.070,0.7123287916183472,6
Adam,0.001,0.6849315166473389,7
Adam,0.002,0.835616409778595,7
Adam,0.003,0.8630136847496033,7
Adam,0.005,0.8493150472640991,7
Adam,0.010,0.698630154132843,7
Adam,0.015,0.767123281955719,7
Adam,0.020,0.7260273694992065,7
Adam,0.030,0.7534246444702148,7
Adam,0.040,0.7123287916183472,7
Adam,0.050,0.7123287916183472,7
Adam,0.060,0.6027397513389587,7
Adam,0.070,0.7123287916183472,7
SGD,0.001,0.4794520437717438,7
SGD,0.002,0.5890411138534546,7
SGD,0.003,0.5890411138534546,7
SGD,0.005,0.6438356041908264,7
SGD,0.010,0.6712328791618347,7
SGD,0.015,0.6575342416763306,7
SGD,0.020,0.6712328791618347,7
SGD,0.030,0.6438356041908264,7
SGD,0.040,0.6575342416763306,7
SGD,0.050,0.6575342416763306,7
SGD,0.060,0.6712328791618347,7
SGD,0.070,0.6438356041908264,7
RMSprop,0.001,0.8904109597206116,7
RMSprop,0.002,0.767123281955719,7
RMSprop,0.003,0.8904109597206116,7
RMSprop,0.005,0.8767123222351074,7
RMSprop,0.010,0.9041095972061157,7
RMSprop,0.015,0.835616409778595,7
RMSprop,0.020,0.8767123222351074,7
RMSprop,0.030,0.6164383292198181,7
RMSprop,0.040,0.6712328791618347,7
RMSprop,0.050,0.6849315166473389,7
RMSprop,0.060,0.7534246444702148,7
RMSprop,0.070,0.7123287916183472,7
Adagrad,0.001,0.45205479860305786,7
Adagrad,0.002,0.6027397513389587,7
Adagrad,0.003,0.6575342416763306,7
Adagrad,0.005,0.6575342416763306,7
Adagrad,0.010,0.6575342416763306,7
Adagrad,0.015,0.6849315166473389,7
Adagrad,0.020,0.6438356041908264,7
Adagrad,0.030,0.6575342416763306,7
Adagrad,0.040,0.6575342416763306,7
Adagrad,0.050,0.8082191944122314,7
Adagrad,0.060,0.8630136847496033,7
Adagrad,0.070,0.8493150472640991,7
Adadelta,0.001,0.42465752363204956,7
Adadelta,0.002,0.42465752363204956,7
Adadelta,0.003,0.42465752363204956,7
Adadelta,0.005,0.42465752363204956,7
Adadelta,0.010,0.42465752363204956,7
Adadelta,0.015,0.6027397513389587,7
Adadelta,0.020,0.5890411138534546,7
Adadelta,0.030,0.6712328791618347,7
Adadelta,0.040,0.6712328791618347,7
Adadelta,0.050,0.6438356041908264,7
Adadelta,0.060,0.6575342416763306,7
Adadelta,0.070,0.7534246444702148,7
AdamW,0.001,0.8904109597206116,7
AdamW,0.002,0.7808219194412231,7
AdamW,0.003,0.767123281955719,7
AdamW,0.005,0.8219178318977356,7
AdamW,0.010,0.7397260069847107,7
AdamW,0.015,0.8219178318977356,7
AdamW,0.020,0.8082191944122314,7
AdamW,0.030,0.767123281955719,7
AdamW,0.040,0.7534246444702148,7
AdamW,0.050,0.7397260069847107,7
AdamW,0.060,0.7397260069847107,7
AdamW,0.070,0.7397260069847107,7
Nadam,0.001,0.6575342416763306,7
Nadam,0.002,0.8630136847496033,7
Nadam,0.003,0.8219178318977356,7
Nadam,0.005,0.8630136847496033,7
Nadam,0.010,0.5205479264259338,7
Nadam,0.015,0.7945205569267273,7
Nadam,0.020,0.7808219194412231,7
Nadam,0.030,0.8493150472640991,7
Nadam,0.040,0.698630154132843,7
Nadam,0.050,0.835616409778595,7
Nadam,0.060,0.7397260069847107,7
Nadam,0.070,0.42465752363204956,7
Adam,0.001,0.8767123222351074,8
Adam,0.002,0.6712328791618347,8
Adam,0.003,0.7945205569267273,8
Adam,0.005,0.8082191944122314,8
Adam,0.010,0.7260273694992065,8
Adam,0.015,0.9041095972061157,8
Adam,0.020,0.8082191944122314,8
Adam,0.030,0.7397260069847107,8
Adam,0.040,0.7123287916183472,8
Adam,0.050,0.7123287916183472,8
Adam,0.060,0.6849315166473389,8
Adam,0.070,0.42465752363204956,8
SGD,0.001,0.42465752363204956,8
SGD,0.002,0.5890411138534546,8
SGD,0.003,0.42465752363204956,8
SGD,0.005,0.6575342416763306,8
